drug_id,pdb_id,Energy,pose_file_name
r2_gen_16166,3BZ3,-10.67,r2_gen_16166_3BZ3_best_docking_pose.mol2
r2_gen_157600,3BZ3,-9.56,r2_gen_157600_3BZ3_best_docking_pose.mol2
r2_gen_223160,3BZ3,-9.14,r2_gen_223160_3BZ3_best_docking_pose.mol2
r2_gen_18952,3BZ3,-8.6,r2_gen_18952_3BZ3_best_docking_pose.mol2
r2_gen_30279,3BZ3,-10.64,r2_gen_30279_3BZ3_best_docking_pose.mol2
r2_gen_302022,3BZ3,-8.02,r2_gen_302022_3BZ3_best_docking_pose.mol2
r2_gen_137793,3BZ3,-6.85,r2_gen_137793_3BZ3_best_docking_pose.mol2
r2_gen_175278,3BZ3,-10.17,r2_gen_175278_3BZ3_best_docking_pose.mol2
r2_gen_107241,3BZ3,-10.18,r2_gen_107241_3BZ3_best_docking_pose.mol2
r2_gen_61197,3BZ3,-9.81,r2_gen_61197_3BZ3_best_docking_pose.mol2
r2_gen_139257,3BZ3,-9.25,r2_gen_139257_3BZ3_best_docking_pose.mol2
r2_gen_124641,3BZ3,-8.6,r2_gen_124641_3BZ3_best_docking_pose.mol2
r2_gen_48515,3BZ3,-9.58,r2_gen_48515_3BZ3_best_docking_pose.mol2
r2_gen_124896,3BZ3,-8.77,r2_gen_124896_3BZ3_best_docking_pose.mol2
r2_gen_200485,3BZ3,-8.66,r2_gen_200485_3BZ3_best_docking_pose.mol2
r2_gen_64276,3BZ3,-10.32,r2_gen_64276_3BZ3_best_docking_pose.mol2
r2_gen_136817,3BZ3,-8.07,r2_gen_136817_3BZ3_best_docking_pose.mol2
r2_gen_103373,3BZ3,-9.97,r2_gen_103373_3BZ3_best_docking_pose.mol2
r2_gen_170215,3BZ3,-10.46,r2_gen_170215_3BZ3_best_docking_pose.mol2
r2_gen_15922,3BZ3,-9.67,r2_gen_15922_3BZ3_best_docking_pose.mol2
r2_gen_98814,3BZ3,-10.99,r2_gen_98814_3BZ3_best_docking_pose.mol2
r2_gen_176299,3BZ3,-8.55,r2_gen_176299_3BZ3_best_docking_pose.mol2
r2_gen_54162,3BZ3,-8.7,r2_gen_54162_3BZ3_best_docking_pose.mol2
r2_gen_19159,3BZ3,-8.43,r2_gen_19159_3BZ3_best_docking_pose.mol2
r2_gen_291089,3BZ3,-6.49,r2_gen_291089_3BZ3_best_docking_pose.mol2
r2_gen_119004,3BZ3,-9.65,r2_gen_119004_3BZ3_best_docking_pose.mol2
r2_gen_60087,3BZ3,-7.1,r2_gen_60087_3BZ3_best_docking_pose.mol2
r2_gen_181779,3BZ3,-7.46,r2_gen_181779_3BZ3_best_docking_pose.mol2
r2_gen_218408,3BZ3,-7.47,r2_gen_218408_3BZ3_best_docking_pose.mol2
r2_gen_77290,3BZ3,-8.8,r2_gen_77290_3BZ3_best_docking_pose.mol2
r2_gen_44882,3BZ3,-7.74,r2_gen_44882_3BZ3_best_docking_pose.mol2
r2_gen_152829,3BZ3,-8.68,r2_gen_152829_3BZ3_best_docking_pose.mol2
r2_gen_261020,3BZ3,-9.34,r2_gen_261020_3BZ3_best_docking_pose.mol2
r2_gen_113521,3BZ3,-11.05,r2_gen_113521_3BZ3_best_docking_pose.mol2
r2_gen_300851,3BZ3,-10.32,r2_gen_300851_3BZ3_best_docking_pose.mol2
r2_gen_13952,3BZ3,-6.81,r2_gen_13952_3BZ3_best_docking_pose.mol2
